gene_symbol,rank,p-value,cover_genes,chr,gene_type,B,C,description,covered_events,mut,total_events,node_degree,no.of.cases,connected.drivers,case,ens_gene_id
MCM10,1,0,"BRCA1,MCM2,RAD54L,KIF4A,ORC6,WDR76,CLSPN,POLA1,TIMELESS,LMNB1,CDK2,RPA1,KIF2C,CDCA5,NCAPG2,MKI67,RECQL4,ATRIP,MCM7,EXO1,PRC1,KIFC1",10,cis,3,4,minichromosome maintenance 10 replication initiation factor,23,1,262,24,1,1,cloneC,ENSG00000065328
NUP155,2,0,"HDAC4,CPSF1,TNPO1,SNRPD3,POLDIP3,RANGAP1,NEK9,AGO2,NUP210,RAN,MDM2,INCENP,MCM3AP,U2AF1L4,KPNA5,HSPA1B,NUP62,RBM8A,POM121C",5,cis,3,4,nucleoporin 155,20,1,262,28,1,2,cloneC,ENSG00000113569
RBM17,3,0.001,"DHX8,SRRT,ACIN1,CACTIN,SMU1,SNRPN,DHX9,MFAP1,POLR2D,POLR2H,PLRG1,POLR2A,SF3A3,DDX42",10,cis,3,4,RNA binding motif protein 17,15,1,262,24,1,3,cloneC,ENSG00000134453
PIP4K2A,4,0.001,"SCIN,VCL,MTMR1,MTMR3,PLCB4,PIP5K1B,MAP2K6,PIK3R3,PLCE1,PIK3R1,PLCD3,PI4KA",10,cis,3,4,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,13,1,262,15,1,4,cloneC,ENSG00000150867
CEP72,5,0.002,"CLASP1,PPP2R1A,ALMS1,CEP89,NPHP4,PCNT,DCTN2,CKAP5,KIF24,DCTN1,HAUS7",5,cis,3,4,centrosomal protein 72,12,1,262,18,1,5,cloneC,ENSG00000112877
VIM,6,0.005,"TNNC2,MYH3,TNNC1,TNNT2,TNNT3,TNNI2,GFAP,TNNI1,TCAP,MYH6,ACTN3",10,cis,3,4,vimentin,11,1,262,15,1,6,cloneC,ENSG00000026025
IL2RA,7,0.015,"GAB2,STAT5A,IKZF3,SYK,INPP5D,IL17D,STAT5B,PTPN11",10,cis,3,4,interleukin 2 receptor subunit alpha,8,1,262,15,1,7,cloneC,ENSG00000134460
BRD9,8,0.021,"SMARCA2,E2F1,KDM3B,PHF10,ZBTB7B,INO80E",5,cis,3,4,bromodomain containing 9,7,1,262,9,1,8,cloneC,ENSG00000028310
EXOC3,9,0.021,"CDH1,MYH9,EXOC4,EXOC6B,ARF6,CTNND1",5,cis,3,4,exocyst complex component 3,7,1,262,8,1,9,cloneC,ENSG00000180104
PARD3,10,0.034,"ARHGEF18,NECTIN1,NECTIN4,TIAM1,F11R",10,cis,3,4,par-3 family cell polarity regulator,6,1,262,12,1,10,cloneC,ENSG00000148498
UPF2,11,0.034,"UPF1,SMG9,EIF4G1,SMG5,DCP1A",10,cis,3,4,UPF2 regulator of nonsense mediated mRNA decay,6,1,262,36,1,11,cloneC,ENSG00000151461
TRIO,12,0.052,"NTN1,GNA11,ABLIM1,PTPRF",5,cis,3,4,trio Rho guanine nucleotide exchange factor,5,1,262,7,1,12,cloneC,ENSG00000038382
SDHA,13,0.052,"MDH1,NDUFS2,NDUFV1,SDHD",5,cis,3,4,succinate dehydrogenase complex flavoprotein subunit A,5,1,262,6,1,13,cloneC,ENSG00000073578
DCLRE1C,14,0.052,"MRE11,NSD2,MDC1,POLL",10,cis,3,4,DNA cross-link repair 1C,5,1,262,6,1,14,cloneC,ENSG00000152457
CUL2,15,0.092,"PSME4,PSMC5,FEM1A",10,cis,3,4,cullin 2,4,1,262,10,1,15,cloneC,ENSG00000108094
HMGCS1,16,0.092,"LDLR,RXRA,SREBF2",5,cis,3,4,3-hydroxy-3-methylglutaryl-CoA synthase 1,4,1,262,4,1,16,cloneC,ENSG00000112972
TERT,17,0.092,"ESR1,MTOR,ANKRD28",5,cis,3,4,telomerase reverse transcriptase,4,1,262,7,1,17,cloneC,ENSG00000164362
APBB1IP,18,0.157,"PACSIN2,TLN2,ITGB3",10,cis,3,4,amyloid beta precursor protein binding family B member 1 interacting protein,3,1,262,7,1,18,cloneC,ENSG00000077420
GTPBP4,19,0.157,"NOP16,GNL3L",10,cis,3,4,GTP binding protein 4,3,1,262,10,1,19,cloneC,ENSG00000107937
GHR,20,0.157,"PRLR,SOCS2",5,cis,3,4,growth hormone receptor,3,1,262,9,1,20,cloneC,ENSG00000112964
DROSHA,21,0.157,"DDX17,DGCR8",5,cis,3,4,drosha ribonuclease III,3,1,262,3,1,21,cloneC,ENSG00000113360
MED10,22,0.157,"MED1,MED22",5,cis,3,4,mediator complex subunit 10,3,1,262,8,1,22,cloneC,ENSG00000133398
AKR1C2,23,0.157,"UGT2A1,AKR1C1",10,cis,3,4,aldo-keto reductase family 1 member C2,3,1,262,4,1,23,cloneC,ENSG00000151632
ICE1,24,0.157,"INTS6,INTS11",5,cis,3,4,interactor of little elongation complex ELL subunit 1,3,1,262,9,1,24,cloneC,ENSG00000164151
PTGER4,25,0.157,"GNB4,CREB3L4,CREB3L1",5,cis,3,4,prostaglandin E receptor 4,3,1,262,7,1,25,cloneC,ENSG00000171522
NSUN2,26,0.278,WDR4,5,cis,3,4,NOP2/Sun RNA methyltransferase 2,2,1,262,2,1,26,cloneC,ENSG00000037474
ARHGAP21,27,0.278,SRGAP1,10,cis,3,4,Rho GTPase activating protein 21,2,1,262,4,1,27,cloneC,ENSG00000107863
LARP4B,28,0.278,LARP1,10,cis,3,4,La ribonucleoprotein 4B,2,1,262,4,1,28,cloneC,ENSG00000107929
MYO10,29,0.278,ARPC4,5,cis,3,4,myosin X,2,1,262,4,1,29,cloneC,ENSG00000145555
RAI14,30,0.521,"",5,cis,3,4,retinoic acid induced 14,1,1,262,1,1,30,cloneC,ENSG00000039560
