SA535X4XB05985-A98262A-R04-C17,SA535X4XB05985-A98262A-R06-C09,SA535X4XB05985-A98262A-R07-C30,SA535X4XB05985-A98262A-R08-C07,SA535X4XB05985-A98262A-R09-C15,SA535X4XB05985-A98262A-R09-C25,SA535X4XB05985-A98262A-R09-C29,SA535X4XB05985-A98262A-R10-C24,SA535X4XB05985-A98262A-R11-C13,SA535X4XB05985-A98262A-R12-C44,SA535X4XB05985-A98262A-R13-C12,SA535X4XB05985-A98262A-R13-C15,SA535X4XB05985-A98262A-R14-C16,SA535X4XB05985-A98262A-R14-C21,SA535X4XB05985-A98262A-R16-C30
1_2000001_2500000,7,7,6,8,7,8,6,9,11,7,8,7,6,5,6
1_3000001_3500000,7,7,6,8,7,8,6,9,11,7,8,7,6,5,6
1_4000001_4500000,7,7,6,8,7,8,6,7,7,7,8,7,6,5,6
1_4500001_5000000,7,7,6,8,6,8,6,7,7,7,8,7,6,5,6
1_5000001_5500000,7,7,6,8,6,8,6,7,7,7,8,7,6,5,6
1_5500001_6000000,7,7,6,8,6,8,6,7,7,7,8,7,6,5,6
1_6000001_6500000,7,7,6,6,6,8,6,7,7,7,7,7,6,5,6
1_6500001_7000000,7,7,6,6,6,8,6,7,7,7,7,7,6,5,6
1_7000001_7500000,7,7,6,6,6,8,6,7,7,7,7,7,6,5,6
1_7500001_8000000,7,7,6,6,6,8,6,7,7,7,7,7,6,5,6
1_8000001_8500000,7,7,6,6,6,8,4,7,7,7,7,7,6,5,6
1_8500001_9000000,7,7,6,6,6,8,4,7,7,7,7,5,6,5,6
1_9000001_9500000,4,4,3,6,6,8,4,7,4,7,7,5,3,3,6
1_9500001_10000000,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3
1_10000001_10500000,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3
1_10500001_11000000,4,4,3,3,3,4,3,4,4,4,4,4,3,3,3
1_11000001_11500000,4,4,3,3,3,4,3,4,4,4,4,4,3,3,3
1_11500001_12000000,4,4,3,3,3,4,3,4,4,4,4,4,3,3,3
1_12000001_12500000,4,4,3,3,3,5,3,4,4,4,4,4,3,3,3
1_14000001_14500000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_14500001_15000000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_15000001_15500000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_15500001_16000000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_16000001_16500000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
1_17500001_18000000,4,4,3,4,3,5,3,4,4,4,5,4,3,3,3
