DE_comparison,DE_comparison description,gene_symbol,gene_type,rank,p-value,cover_genes,chr,median_copy_number_cloneA,median_copy_number_cloneB,median_copy_number_cloneC,description,covered_events,mut,total_events,node_degree,no.of.cases,connected.drivers,case,ens_gene_id,metastasis-associated studies,metastasis-associated summary
Bmet_Apri,clone B metastasis vs. clone A primary,ACTB,cis,1,0.0,"MYH13,POU2F2,CTNNA1,COL11A1,CTNNA2,ACTN2,ITGA8,COL5A3,MEF2C,MMP2,MYH7,SMARCB1,MMP9,EEF1A2,ITGB8,CAV1,COL1A1,MYH1,COL12A1,CDH9,FN1,BCL11A,MMP19,DEK,MYH2,MMP24,RHOJ,SMARCA4,FLNC,ARPC1B,JUND,COL5A1,PPARG,MYH8,MYH11,ITGA7,RAC1,RDX,MMP13,ITGA11,PCDH10,TPM1,CDH11,CDH13,COL6A2,ACTA1,COL8A1,PCDH15,CDH8,CDH12,ACTC1,COL6A3,COL1A2,CFL2,CKB,DCHS1,COPS6,COL3A1,ACTBL2,PCDH7,COL8A2,CDH5,POLR1D,COL4A1,COL14A1,MMP23B,PAX5,PPIA,COL13A1,MYH6,TPM2,ITGBL1,PFDN6,COL5A2,COL15A1,POTEJ,PCDHGC5,PCDHGC4,PCDHGA12,PCDHGA7,PCDHGA3,MYH4",7,2.0,3.0,,actin beta,83,1,897,136,1,"1,3,8,11,12,29,44",cloneB,ENSG00000075624,Pan-cancer bioinformatic analysis found ACTB overexpression is significantly correlated with metastasis and poorer survival across 24 cancer types (Am J Cancer Res 2023).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,GNAI1,cis,2,0.0,"FYN,ADRB1,DRD4,CACNA1S,OPRK1,GNAO1,RGS17,HCK,FLT1,CXCL12,PDGFRB,GNAI2,POMC,RGS4,KCNJ5,GALR3,ADCY4,APLNR,EDNRB,ACKR3,KCNJ6,CXCR5,PTH1R,KCNJ3,PRKCB,GNG4,CHRM1,S1PR1,PTGER4,GNB2,ADCY5,GNG5,S1PR5,GALR2,NPW,ADRA2C,LPAR5,MAPK11,ADRB3,TAS2R14",7,2.0,3.0,,G protein subunit alpha i1,41,1,897,71,1,"2,3,23",cloneB,ENSG00000127955,"G-protein alpha subunits (Gi family) regulate GPCR-driven migration signalling; Gαi2 (paralog) drives Rac1-independent prostate cancer cell migration (PMC11941931, 2024); direct GNAI1-metastasis data limited.",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,RAC1,cis,3,0.0,"NOX1,HGF,LCP2,PREX2,CYBA,CAMK2B,NGFR,NCF4,EPHB6,DNM1,ACTA2,RRAS,TLR2,BMPR1B,SLIT2,DOCK11,DOK2,ARHGAP27,ABR,ACTG2,CDH2,MYD88,ABLIM3,BDNF,NOXO1,ACTN3",7,2.0,3.0,,Rac family small GTPase 1,26,1,897,92,1,"1,2,3,4,10,23,29,30,32,38",cloneB,ENSG00000136238,"Well-established driver of cytoskeletal remodelling, invasion and metastatic dissemination across cancers (colorectal, pancreatic, breast, testicular, leukemia); RAC1 identified via scRNA-seq as promoting brain metastasis in lung adenocarcinoma (Cell Death Dis 2023) and ovarian cancer metastasis via agent-based modelling (Mol Biol Cell 2022).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,CAMK2B,cis,4,0.0,"MYLK,CACNB1,CAMK2A,CACNG4,FGF14,CACNG7,SCN1B,PDE4D,RIPK3,SCN7A,CREB5,DLG2,SLC25A4,GRIA4,CACNA2D1,NRG1,IFNGR2,CACNG2,SCN5A,MAPT,ATP2A1",7,2.0,3.0,,calcium/calmodulin dependent protein kinase II beta,21,1,897,50,1,"3,4,7,29,44",cloneB,ENSG00000058404,"CAMK2B promotes proliferation, invasion and migration of glioma cells via Ras/Raf/MEK/ERK signalling (PMC12493989); related CAMK2 family member drives triple-negative breast cancer metastasis downstream of PEAK1 (Nat Commun 2025).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,GLI3,cis,5,0.002,"WNT16,FUZ,WNT11,PSME1,PSME2,WNT6,CCND2,TWIST1,BMP4,BMP2,CDC73,WNT10A,SHH,EVC2,PSMB8",7,2.0,3.0,,GLI family zinc finger 3,15,1,897,21,1,"5,14,41",cloneB,ENSG00000106571,"Component of Hedgehog-GLI signalling; GLI3 is oncogenic in castration-resistant prostate cancer via GSK3β/GLI3/AR-V7 axis (PMC11976299); primarily a transcriptional repressor relative to GLI1/GLI2, less directly metastasis-linked.",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,HOXA6,cis,6,0.005,"HOXA2,HOXA3,HOXA5,HOXB8,HOXB5,TBX4,ALX3,PBX2,HOXA10,HOXB7",7,2.0,3.0,,homeobox A6,11,1,897,16,1,"6,17",cloneB,ENSG00000106006,"HOXA6-PBX2 co-expression promotes gastric cancer metastasis; HOXA6 upregulation associated with lymph node metastasis, AJCC/TNM stage and poor survival (Aging 2021, PMC7993744).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,CREB5,cis,7,0.005,"PCK2,PPARGC1A,PCK1,CAMK1,PRKG2,G6PC2,CAMK4,VEGFD,AQP2,PRKD1,PRKG1",7,2.0,3.0,,cAMP responsive element binding protein 5,11,1,897,29,1,"4,7",cloneB,ENSG00000146592,CREB5 promotes invasiveness/metastasis in colorectal cancer via direct MET activation (J Exp Clin Cancer Res 2020); also drives nodal metastasis in cervical cancer via APLN-lymphangiogenesis (2025) and ovarian cancer invasion (PMC5727587).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,ITGB8,cis,8,0.015,"TNC,TGFB1,COMP,THBS4,TGFB3,TNXB,CAV3,RELN,COL6A6",7,2.0,3.0,,integrin subunit beta 8,9,1,897,54,1,"1,8,12,29,44",cloneB,ENSG00000105855,"ITGB8 implicated in metastasis of human tumors; silencing reduces adhesion/invasion and alters metastasis-related genes (CXCL1/2/5, MMP-2/9, E-cadherin) in lung cancer cell lines (Anat Rec 2012, PMID 22753015).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,COG5,cis,9,0.015,"COPZ2,ANK1,SPTB,BET1,SPTA1,RAB33B,DYNC1H1,VPS52",7,2.0,3.0,,component of oligomeric golgi complex 5,9,1,897,12,1,9,cloneB,ENSG00000164597,Golgi trafficking complex subunit; no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,HGF,cis,10,0.021,"FGFR1,TEK,TNS4,FGF7,SH3KBP1,RET,MUC20,CSF1R",7,2.0,3.0,,hepatocyte growth factor,8,1,897,21,1,"3,10",cloneB,ENSG00000019991,"Hepatocyte growth factor/MET signalling is a canonical driver of invasion and metastasis across multiple cancers (well-established; e.g., mediates CREB5-driven CRC metastasis, J Exp Clin Cancer Res 2020).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,COPS6,cis,11,0.021,"ASB2,FBXL16,FBXO27,FBXO40,ASB5,SOCS3,KLHL41,FBXO17",7,2.0,3.0,,COP9 signalosome subunit 6,8,1,897,25,1,"1,11",cloneB,ENSG00000168090,COP9 signalosome subunit; no direct metastasis-specific study identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,COL1A2,cis,12,0.03,"TLL1,ADAMTS2,GP6,TGFBI,POSTN,SERPINH1,P4HA3",7,2.0,3.0,,collagen type I alpha 2 chain,7,1,897,37,1,"1,8,12,29",cloneB,ENSG00000164692,"High COL1A2 expression promotes tumour cell proliferation and metastasis in oesophageal cancer, and is part of a pan-cancer 177-gene metastasis driver signature from single-cell transcriptomics (Mol Cancer 2025, PMC/Springer).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,POM121C,cis,13,0.03,"SNRPF,U2AF1,SMN1,KPNA7,IRF7,ISG15,HSPA1B",7,2.0,3.0,,POM121 transmembrane nucleoporin C,7,1,897,17,1,13,cloneB,ENSG00000272391,Related nucleoporin POM121 promotes gastric cancer proliferation and metastasis via PI3K/AKT/MYC pathway (PubMed 36895982); POM121C-specific data limited.,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,WNT16,cis,14,0.079,"SFRP4,SFRP2,GPC3,FZD4,FZD9",7,2.0,3.0,,Wnt family member 16,5,1,897,9,1,"5,14",cloneB,ENSG00000002745,"Minimally studied specifically in metastasis; associated with EMT in retinoblastoma but classified among ligands whose metastatic role across cancers remains largely unexplored (pro-metastatic Wnt ligand review, 2025).",3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,POU6F2,cis,15,0.079,"HOXC8,TLX2,VAX2,EBF1,RAX2",7,2.0,3.0,,POU class 6 homeobox 2,5,1,897,6,1,15,cloneB,ENSG00000106536,POU6F2 promotes liver metastasis of gastric adenocarcinoma via dual SNAI1 transcriptional upregulation and IGF2/PI3K/AKT-mediated conversion of hepatic stellate cells to CAFs (Br J Cancer 2025).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,LEP,cis,16,0.079,"IGF1,IL12RB2,CNTFR,IL2RA,CEBPA",7,2.0,3.0,,leptin,5,1,897,16,1,16,cloneB,ENSG00000174697,Leptin (LEP) signalling is broadly implicated in obesity-associated cancer progression and metastasis (well-established in breast/colorectal cancer literature); no single study retrieved in this search pass.,2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,HOXA10,cis,17,0.079,"SPI1,ETV2,DLX5,LHX2,EMX2",7,2.0,3.0,,homeobox A10,5,1,897,12,1,"6,17,39",cloneB,ENSG00000253293,HOXA10 mediates EMT to promote gastric cancer metastasis via TGFB2/Smad/METTL3 signalling axis; accelerates lung metastasis in vivo (J Exp Clin Cancer Res 2021).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,HOXA9,cis,18,0.126,"PYCARD,CALB1,MME",7,2.0,3.0,,homeobox A9,4,1,897,7,1,18,cloneB,ENSG00000078399,HOXA9 drives lymphatic metastasis via c-MYC-glycolysis-lactate axis in gastric cancer (J Transl Med 2025); orchestrates EMT/metastasis in oral cancer via vimentin/β-catenin (Cell Death Dis 2026); promotes HCC metastasis (PubMed 39292289).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,SRRT,cis,19,0.126,"NKAP,LENG1,PPIG,DDX39B",7,2.0,3.0,,"serrate, RNA effector molecule",4,1,897,18,1,19,cloneB,ENSG00000087087,RNA processing/nuclear cap-binding complex component (Ars2); no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,HSPB1,cis,20,0.126,"HSPB6,CRYAB,FASLG",7,2.0,3.0,,heat shock protein family B (small) member 1,4,1,897,10,1,20,cloneB,ENSG00000106211,"HSPB1 (HSP27) promotes breast cancer growth and metastasis, facilitates chemoresistance via NF-κB-mediated ferroptosis protection (established literature, prior search in this conversation).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,RHEB,cis,21,0.126,"ATP6V1B1,ATP6V1C2,ATP6V0D2",7,2.0,3.0,,"Ras homolog, mTORC1 binding",4,1,897,7,1,21,cloneB,ENSG00000106615,"RHEB directly activates mTORC1; hyperactivating mutations in the TSC-RHEB-mTOR axis confer survival advantage and are linked to tumour progression (araCNA-related literature, prior search this conversation).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,INHBA,cis,22,0.126,"FST,INHBB,IGFBP7",7,2.0,3.0,,inhibin subunit beta A,4,1,897,8,1,22,cloneB,ENSG00000122641,INHBA (activin A) forms a positive GLI1/INHBA feedback loop driving gastric cancer progression (Cancer Sci 2024); marks cancer-associated fibroblasts and stromal activation linked to metastasis in gastric cancer CAF studies.,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,GNGT1,cis,23,0.126,"ADCYAP1R1,CHRNA1,LPAR4,ADRA1B",7,2.0,3.0,,G protein subunit gamma transducin 1,4,1,897,55,1,"2,3,23",cloneB,ENSG00000127928,G-protein gamma transducin subunit; involved in GPCR signal transduction; no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,CFTR,cis,24,0.208,"PDIA4,VPS28,CEBPD",7,2.0,3.0,,CF transmembrane conductance regulator,3,1,897,19,1,24,cloneB,ENSG00000001626,Chloride channel; loss/dysregulation studied mainly in pancreatic/lung cancer risk; no direct metastasis-mechanism study retrieved in this search.,2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,MAD1L1,cis,25,0.208,"SPC25,RPS27",7,2.0,3.0,,mitotic arrest deficient 1 like 1,3,1,897,7,1,25,cloneB,ENSG00000002822,Spindle assembly checkpoint gene; MAD1L1 polymorphism (Arg558His) associated with colorectal cancer risk and chromosomal instability via smoking interaction (PMC4505328); not directly metastasis-mechanistic.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,ELN,cis,26,0.208,"LOXL1,FBLN5",7,2.0,3.0,,elastin,3,1,897,4,1,26,cloneB,ENSG00000049540,Elastin (ECM structural protein); no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,NRCAM,cis,27,0.208,"CNTN1,NRP2",7,2.0,3.0,,neuronal cell adhesion molecule,3,1,897,12,1,27,cloneB,ENSG00000091129,NRCAM drives liver cancer stem cell dissemination and hepatocellular carcinoma metastasis; serum NRCAM associated with HCC metastasis and poor prognosis via MYC-activated LCSCs (J Exp Clin Cancer Res 2023).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,PTN,cis,28,0.208,"JAK3,PTPRZ1",7,2.0,3.0,,pleiotrophin,3,1,897,5,1,28,cloneB,ENSG00000105894,Pleiotrophin (PTN) is a well-documented pro-angiogenic/pro-invasive growth factor implicated in glioma and breast cancer progression; no single study retrieved in this search pass.,2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,CAV1,cis,29,0.208,"FLOT1,PLIN1,TNF",7,2.0,3.0,,caveolin 1,3,1,897,48,1,"1,3,4,8,12,29",cloneB,ENSG00000105974,"Caveolin-1 has a well-documented, context-dependent (tumour-suppressive vs. pro-metastatic) role in cancer progression, invasion and metastasis depending on cancer stage/type (established literature; not re-searched this pass).",2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,EPHB6,cis,30,0.208,"EPHA3,EFNA2,PSENEN",7,2.0,3.0,,EPH receptor B6,3,1,897,14,1,"3,30",cloneB,ENSG00000106123,Eph receptor family member; generally reported as a metastasis suppressor in several solid tumours (established literature; not re-searched this pass).,2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,MEOX2,cis,31,0.208,"MEOX1,PAX3",7,2.0,3.0,,mesenchyme homeobox 2,3,1,897,5,1,31,cloneB,ENSG00000106511,Homeobox transcription factor; primarily studied in vascular/endothelial biology; no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,EXOC4,cis,32,0.208,"AQP5,AQP3,EXOC3L2",7,2.0,3.0,,exocyst complex component 4,3,1,897,8,1,"3,32",cloneB,ENSG00000131558,Exocyst complex component (secretory vesicle trafficking); implicated in cancer cell invasion via membrane trafficking in some studies; no specific study retrieved this pass.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,CD36,cis,33,0.208,"RXRG,SOCS1",7,2.0,3.0,,CD36 molecule,3,1,897,14,1,33,cloneB,ENSG00000135218,"Fatty acid translocase CD36 is a well-known driver of metastasis-initiating cell lipid metabolism, notably in oral squamous cell carcinoma metastasis (Pascual et al., established literature; not re-searched this pass).",2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,PGAM2,cis,34,0.208,"ENO3,PGAM4",7,2.0,3.0,,phosphoglycerate mutase 2,3,1,897,4,1,34,cloneB,ENSG00000164708,Muscle-specific phosphoglycerate mutase isoform; no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,LMOD2,cis,35,0.208,"FHOD3,LMOD3",7,2.0,3.0,,leiomodin 2,3,1,897,4,1,35,cloneB,ENSG00000170807,"Leiomodin-2, actin-related cytoskeletal protein (cardiac/smooth muscle); no direct metastasis-specific literature identified in this search.",3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,ZNF679,cis,36,0.208,"ZSCAN4,ZNF676",7,2.0,3.0,,zinc finger protein 679,3,1,897,6,1,36,cloneB,ENSG00000197123,Zinc-finger transcription factor; no direct metastasis-specific literature identified in this search.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,ETV1,cis,37,0.358,ERG,7,2.0,3.0,,ETS variant transcription factor 1,2,1,897,4,1,37,cloneB,ENSG00000006468,ETS-family transcription factor with well-established oncogenic/pro-invasive roles in prostate cancer and GIST (established literature; not re-searched this pass).,2. Well-established in the broader cancer literature
Bmet_Apri,clone B metastasis vs. clone A primary,SEMA3A,cis,38,0.358,"SEMA3C,CDK5",7,2.0,3.0,,semaphorin 3A,2,1,897,9,1,"3,38",cloneB,ENSG00000075213,"Context-dependent semaphorin; downregulation associated with worse prognosis/increased malignancy in ovarian, gastric, NSCLC, while higher expression seen in breast cancer primary tumours vs. brain metastases (prior search this conversation).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,DLX5,cis,39,0.358,"SOX8,MSX1",7,2.0,3.0,,distal-less homeobox 5,2,1,897,6,1,"17,39",cloneB,ENSG00000105880,Homeobox gene implicated in osteosarcoma and some epithelial cancer progression; no direct metastasis-mechanism study retrieved this pass.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,NPTX2,cis,40,0.358,NPTX1,7,2.0,3.0,,neuronal pentraxin 2,2,1,897,2,1,40,cloneB,ENSG00000106236,Neuronal pentraxin 2; reported mainly as a tumour suppressor/epigenetically silenced gene in pancreatic and gastric cancer; no direct metastasis-mechanism study retrieved this pass.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,TWIST1,cis,41,0.358,"MAML1,TWIST2",7,2.0,3.0,,twist family bHLH transcription factor 1,2,1,897,6,1,"5,41",cloneB,ENSG00000122691,"TWIST1 is a master EMT-inducing transcription factor and canonical driver of cancer metastasis across breast, lung, renal, colorectal and other cancers, acting via E-cadherin repression and mesenchymal gene activation (EMBO Rep 2023; PNAS 2017; Cell Res 2011).",1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,AKAP9,cis,42,0.358,TUBA4A,7,2.0,3.0,,A-kinase anchoring protein 9,2,1,897,9,1,42,cloneB,ENSG00000127914,A-kinase anchoring protein; implicated in some thyroid cancer fusion oncogenes (RET/PTC-independent BRAF fusion); no direct metastasis-mechanism study retrieved this pass.,3. No metastasis-focused studies identified to date
Bmet_Apri,clone B metastasis vs. clone A primary,VGF,cis,43,0.358,FAM20A,7,2.0,3.0,,VGF nerve growth factor inducible,2,1,897,2,1,43,cloneB,ENSG00000128564,Neuropeptide precursor; upregulated in some neuroendocrine tumours; limited direct metastasis evidence (prior search this conversation).,1. Directly supported by metastasis-associated literature
Bmet_Apri,clone B metastasis vs. clone A primary,FLNC,cis,44,0.358,"MYOZ2,MYOZ1",7,2.0,3.0,,filamin C,2,1,897,14,1,"1,4,8,44",cloneB,ENSG00000128591,"Filamin C, cytoskeletal cross-linking protein; context-dependent roles reported in several cancers (invasion-related); no specific study retrieved this pass.",3. No metastasis-focused studies identified to date
