clone,cnv,chr,start,end
A,2,10,100000001,100500000
A,3,10,10000001,10500000
A,2,10,101000001,101500000
A,2,10,102000001,102500000
A,2,10,102500001,1.03e+08
A,2,10,103000001,103500000
A,2,10,103500001,1.04e+08
A,2,10,104000001,104500000
A,2,10,104500001,1.05e+08
A,2,10,105000001,105500000
A,2,10,105500001,1.06e+08
A,2,10,106000001,106500000
A,2,10,106500001,1.07e+08
A,2,10,108000001,108500000
A,2,10,108500001,1.09e+08
A,2,10,109000001,109500000
A,2,10,109500001,1.1e+08
A,3,10,11000001,11500000
A,2,10,110500001,1.11e+08
A,2,10,111000001,111500000
A,2,10,112000001,112500000
A,2,10,112500001,1.13e+08
A,2,10,113000001,113500000
A,2,10,114000001,114500000
A,2,10,114500001,1.15e+08
A,2,10,115000001,115500000
A,3,10,11500001,1.2e+07
A,2,10,115500001,1.16e+08
A,2,10,116000001,116500000
A,2,10,116500001,1.17e+08
A,2,10,117500001,1.18e+08
A,2,10,118000001,118500000
A,2,10,118500001,1.19e+08
A,2,10,119000001,119500000
A,2,10,119500001,1.2e+08
A,2,10,120000001,120500000
A,3,10,12000001,12500000
A,2,10,120500001,1.21e+08
A,2,10,121000001,121500000
A,2,10,121500001,1.22e+08
A,2,10,122000001,122500000
A,2,10,123000001,123500000
A,2,10,123500001,1.24e+08
A,2,10,124500001,1.25e+08
A,2,10,125000001,125500000
A,3,10,12500001,1.3e+07
A,2,10,126000001,126500000
A,2,10,126500001,1.27e+08
A,2,10,127000001,127500000
A,2,10,127500001,1.28e+08
A,2,10,128000001,128500000
A,2,10,129000001,129500000
A,2,10,129500001,1.3e+08
A,2,10,130000001,130500000
A,3,10,13000001,13500000
A,2,10,130500001,1.31e+08
A,2,10,131000001,131500000
A,2,10,131500001,1.32e+08
A,2,10,132000001,132500000
A,2,10,132500001,1.33e+08
A,2,10,134000001,134500000
A,2,10,134500001,1.35e+08
A,3,10,13500001,1.4e+07
A,3,10,14000001,14500000
A,3,10,14500001,1.5e+07
A,3,10,15000001,15500000
A,3,10,1500001,2e+06
A,3,10,16000001,16500000
A,3,10,16500001,1.7e+07
A,3,10,17000001,17500000
A,3,10,18500001,1.9e+07
A,3,10,19500001,2e+07
A,3,10,20000001,20500000
A,3,10,2000001,2500000
A,3,10,20500001,2.1e+07
A,3,10,21000001,21500000
A,3,10,21500001,2.2e+07
A,3,10,22000001,22500000
A,3,10,22500001,2.3e+07
A,3,10,23000001,23500000
A,3,10,23500001,2.4e+07
A,3,10,24000001,24500000
A,3,10,24500001,2.5e+07
A,3,10,25000001,25500000
A,3,10,2500001,3e+06
A,3,10,26000001,26500000
A,3,10,26500001,2.7e+07
A,3,10,27000001,27500000
A,3,10,27500001,2.8e+07
A,3,10,28000001,28500000
A,3,10,28500001,2.9e+07
A,3,10,29000001,29500000
A,3,10,29500001,3e+07
A,3,10,30000001,30500000
A,3,10,3000001,3500000
A,3,10,30500001,3.1e+07
A,3,10,31000001,31500000
A,3,10,32000001,32500000
A,3,10,32500001,3.3e+07
A,3,10,33000001,33500000
A,3,10,33500001,3.4e+07
A,3,10,34000001,34500000
A,3,10,34500001,3.5e+07
A,3,10,35000001,35500000
A,3,10,3500001,4e+06
A,3,10,35500001,3.6e+07
A,3,10,36000001,36500000
A,3,10,36500001,3.7e+07
A,3,10,37500001,3.8e+07
A,3,10,38000001,38500000
A,3,10,4000001,4500000
A,2,10,43000001,43500000
A,2,10,43500001,4.4e+07
A,2,10,44000001,44500000
A,2,10,45000001,45500000
A,3,10,4500001,5e+06
A,2,10,45500001,4.6e+07
A,2,10,49500001,5e+07
A,2,10,50000001,50500000
A,3,10,500001,1e+06
A,2,10,50500001,5.1e+07
A,2,10,52500001,5.3e+07
A,2,10,53000001,53500000
A,2,10,54000001,54500000
A,2,10,54500001,5.5e+07
A,2,10,55000001,55500000
A,3,10,5500001,6e+06
A,2,10,55500001,5.6e+07
A,2,10,56000001,56500000
A,2,10,56500001,5.7e+07
A,2,10,57500001,5.8e+07
A,2,10,58000001,58500000
A,2,10,58500001,5.9e+07
A,2,10,59000001,59500000
A,2,10,59500001,6e+07
A,2,10,60000001,60500000
A,2,10,60500001,6.1e+07
A,2,10,61000001,61500000
A,2,10,61500001,6.2e+07
A,2,10,62000001,62500000
A,2,10,62500001,6.3e+07
A,2,10,63000001,63500000
A,2,10,63500001,6.4e+07
A,2,10,64500001,6.5e+07
A,2,10,65000001,65500000
A,2,10,65500001,6.6e+07
A,2,10,66000001,66500000
A,2,10,66500001,6.7e+07
A,2,10,67000001,67500000
A,2,10,67500001,6.8e+07
A,2,10,68000001,68500000
A,2,10,68500001,6.9e+07
A,2,10,69500001,7e+07
A,2,10,70000001,70500000
A,2,10,70500001,7.1e+07
A,2,10,71000001,71500000
A,2,10,71500001,7.2e+07
A,2,10,72000001,72500000
